,product,class,code,name,image,price
0,ON00,양파,ON,양파(소) 1망,http://jangfood1.hgodo.com/shop/external/fix/md/itemImg/2022/04/13/155//20220413160225d719f1cb032d4d9bb1f6d6de2a53cd04_tr5m.jpg,"3,290원"
1,ON01,양파,ON,깐양파 5KG/국산,http://jangfood1.hgodo.com/shop/external/fix/md/itemImg/2020/02/24/787//202002240903154c60c9ceda3444039eec7ec45e5c6ec2_bvhh.jpg,"8,900원"
2,ON02,양파,ON,신선깐양파 500G/보탬/국산,http://jangfood1.hgodo.com/shop/external/fix/md/itemImg/2023/03/23/563//20230323140735deeee2c3f61e4a62854af2317e385315_i52w.jpg,"2,790원"
3,ON03,양파,ON,적양파(망) 2KG,http://jangfood1.hgodo.com/shop/external/fix/md/itemImg/2023/05/31/415//2023053110313576e3e21fee4f4065a23e6dc28d27f2a3_mdj7.jpg,"4,990원"
4,ON04,양파,ON,깐양파 10KG/국산,http://jangfood1.hgodo.com/shop/external/fix/img/food/sub01//20190430113756e9e1001561204525ab4b9dcb0b589b70_uj72.jpg,"15,900원"
5,GA00,마늘,GA,깐마늘(대) 1KG/바른푸드,http://jangfood1.hgodo.com/shop/external/fix/md/itemImg/2024/05/30/354//2024053010301577c95c7d4a774ffb87922c22c833601c_lg44.jpg,"12,200원"
6,GA01,마늘,GA,깐마늘(대) 1KG/바른푸드  BOX (10),http://jangfood1.hgodo.com/shop/external/fix/md/itemImg/2024/05/30/648//20240530103200df23d6bc9af64b42b3e408bd9a30b075_nfhn.jpg,"121,000원"
7,GA02,마늘,GA,깐마늘(소) 1KG/바른푸드,http://jangfood1.hgodo.com/shop/external/fix/md/itemImg/2024/05/30/316//2024053010274084026d6ce94f42ddbfa2c5ae1e5177ca_ojwq.jpg,"12,000원"
8,GA03,마늘,GA,깐마늘(소) 1KG/바른푸드  BOX (10),http://jangfood1.hgodo.com/shop/external/fix/md/itemImg/2024/05/30/564//2024053010282561b5c1d046984668ad384db2ab8f4a5c_skh2.jpg,"119,000원"
9,GA04,마늘,GA,깐마늘(손주) 1KG/바른푸드,http://jangfood1.hgodo.com/shop/external/fix/md/itemImg/2022/04/26/768//2022042609313098a69d90b71f4a5283c772d68789abb8_mgfn.jpg,"14,500원"
10,GO00,대파,GO,깐대파 1봉/국산,http://jangfood1.hgodo.com/shop/external/fix/md/itemImg/2024/12/13/941//2024121314534084f64211e5f74a56a4ac61f9a6bd1f9b_eh6t.jpg,"2,800원"
11,GO01,대파,GO,깐대파 1KG/국산,http://jangfood1.hgodo.com/shop/external/fix/md/itemImg/2019/06/01/213//20190601000340c7d4244378474cc0be0911bc710f88f5_27pr.jpg,"4,000원"
12,GO02,대파,GO,깐쪽파 1봉(400G)/㈜이레청과,http://jangfood1.hgodo.com/shop/external/fix/md/itemImg/2025/05/02/149//202505021025455ccf0efdd08d449298c5fffb26d6fc11_49i9.jpg,"3,990원"
13,GO03,대파,GO,깐대파 2.5KG/국산,http://jangfood1.hgodo.com/shop/external/fix/md/itemImg/2022/05/06/424//202205061230105593da22ac2f4510a64ab0f427b2383a_gasy.jpg,"5,900원"
14,GO04,대파,GO,대파(망) 5KG/국산,http://jangfood1.hgodo.com/shop/external/fix/md/itemImg/2024/07/25/753//20240725075350135caed5ac564e58b151bf68d0da0ff4_etph.jpg,"7,900원"
15,CH00,청양고추,CH,반홍청양고추 500G/국산,http://jangfood1.hgodo.com/shop/external/fix/md/itemImg/2023/05/03/795//202305031102353b067e04305c43b0ac59ee58a287923e_ecbf.jpg,"2,850원"
16,CH01,청양고추,CH,청양고추(특) 200G,http://jangfood1.hgodo.com/shop/external/fix/md/itemImg/2024/08/05/893//2024080513073591fdc5527dc84f86917a60e032509879_p1ln.jpg,"1,790원"
17,CH02,청양고추,CH,청양고추(특) 500G,http://jangfood1.hgodo.com/shop/external/fix/md/itemImg/2024/08/05/408//20240805131325c37089f520974b37a158b0f6e0716c4b_je3j.jpg,"3,690원"
18,CH03,청양고추,CH,청양고추(상) 1KG,http://jangfood1.hgodo.com/shop/external/fix/md/itemImg/2024/08/01/931//202408010814308801c1f12c764d609007c7d10875b67c_sivw.jpg,"4,390원"
19,CH04,청양고추,CH,청양고추(상) 2KG,http://jangfood1.hgodo.com/shop/external/fix/md/itemImg/2024/08/01/728//202408010818007d3aae2d990e495e9b55443659173589_qnof.jpg,"7,990원"
20,LE00,상추,LE,청로메인(박스) 2KG,http://jangfood1.hgodo.com/shop/external/fix/md/itemImg/2020/05/01/363//20200501150510311c101fa4c0484d93cfc0873989e263_78ca.jpg,"16,500원"
21,LE01,상추,LE,청로메인 200G/국산,http://jangfood1.hgodo.com/shop/external/fix/md/itemImg/2021/01/25/783//202101251250109b4caa6d05c9496cb288dd382fe785c5_cnkh.jpg,"2,300원"
22,LE02,상추,LE,포기상추 300G/국산,http://jangfood1.hgodo.com/shop/external/fix/md/itemImg/2024/05/17/728//20240517083345342fe45951a14627bc06b4121f3b64bf_xm1c.jpg,"2,090원"
23,LE03,상추,LE,꽃상추 100G/한끼채소,http://jangfood1.hgodo.com/shop/external/fix/md/itemImg/2024/08/19/072//2024081913252016ed9e6de92d4ecbb7ceaeb85e053a68_afhm.jpg,"1,490원"
24,LE04,상추,LE,적상추 100G/한끼채소,http://jangfood1.hgodo.com/shop/external/fix/md/itemImg/2024/01/30/418//20240130115750f9c29fd827644205a3883945cbae2ca4_vqqs.jpg,"1,490원"
25,NC00,배추,NC,배추(1포기)/국산,http://jangfood1.hgodo.com/shop/external/fix/md/itemImg/2021/01/05/564//202101051527108c4d2a7248a54be6b3c340c996732ff1_vrxu.jpg,"3,490원"
26,NC01,배추,NC,배추(A) 1단(2포기)/국산,http://jangfood1.hgodo.com/shop/external/fix/md/itemImg/2020/04/03/093//20200403163220282aa2d61c194e6f890b1374d6d41455_vbjj.jpg,"6,900원"
27,NC02,배추,NC,쌈배추 300G/국산,http://jangfood1.hgodo.com/shop/external/fix/md/itemImg/2019/06/01/073//201906010000502bdcf1bb28a04e4e8fc6713e00df0347_iwnm.jpg,"4,090원"
28,NC03,배추,NC,알배기(특) 1봉/국산,http://jangfood1.hgodo.com/shop/external/fix/md/itemImg/2025/02/26/459//20250226141330e8ffa6fcea3c4cea8b7d803cedd27c4d_ttkp.jpg,"2,190원"
29,NC04,배추,NC,청방배추 1단/동호상회/국산,http://jangfood1.hgodo.com/shop/external/fix/md/itemImg/2025/03/04/307//20250304152055b39ac0e391a6436db07513dfd635a247_s7g8.jpg,"6,490원"
30,SN00,시금치,SN,포항시금치 1단/국산,http://jangfood1.hgodo.com/shop/external/fix/md/itemImg/2024/03/11/806//2024031113245027560b67ecdf4ea09e46f91cd7882e60_rybt.jpg,"3,090원"
31,SN01,시금치,SN,시금치(봉지) 4KG/동호상회/국산,http://jangfood1.hgodo.com/shop/external/fix/md/itemImg/2025/03/04/667//2025030415262552022c05c0bf47ed9c6c68214d59f2d0_4fsd.jpg,"15,900원"
32,SN02,시금치,SN,돗나물 4KG/국산,http://jangfood1.hgodo.com/shop/external/fix/md/itemImg/2023/01/18/994//2023011809451051be24d4c5ac4f148ec102eee78577eb_sq1l.jpg,"13,900원"
33,SN03,시금치,SN,돗나물 300G/국산,http://jangfood1.hgodo.com/shop/external/fix/md/itemImg/2019/06/01/034//20190601003120ff525a5cce1b40ff8d38813b9b167150_tl2r.jpg,"1,650원"
34,SN04,시금치,SN,열무(봉지) 4KG/국산,http://jangfood1.hgodo.com/shop/external/fix/md/itemImg/2020/04/06/594//20200406081705cb62db3bec1a4c52a02e4312abeba65f_9hl2.jpg,"7,190원"
35,PL00,깻잎,PL,깻잎(2속) 1봉/한끼채소,http://jangfood1.hgodo.com/shop/external/fix/md/itemImg/2025/02/13/542//20250213161410f5ef4a3c0b7e4bdfb9ddb703c20cfb73_miji.jpg,"1,790원"
